week,stock,buy,sell,qty,pnl,pnl_pct
2025-01-27,trent,5412.6,5597.15,1,162.53,3.41
2025-01-27,voltas,1418.75,1474.1,7,346.95,3.9
2025-01-27,eternal,206.2,222.5,52,803.02,7.9
2025-02-03,motilalofs,625.65,701.65,17,1246.87,12.15
2025-02-03,jswenergy,445.65,493.8,25,1156.78,10.8
2025-02-03,abb,5197.35,5744.95,2,1051.43,10.54
2025-02-03,aparinds,7239.2,7304.8,1,36.51,0.91
2025-02-03,recltd,405.5,440.25,27,892.58,8.57
2025-02-10,aparinds,6728.2,6774.0,1,18.8,0.68
2025-02-10,trent,5196.75,5237.3,2,39.36,0.78
2025-02-10,swiggy,362.1,341.4,33,-729.53,-5.72
2025-02-10,adanipower,98.28,100.35,121,202.4,2.11
2025-02-10,lloydsme,1175.2,1181.05,10,11.38,0.5
2025-02-17,tatainvest,522.03,594.45,22,1544.0,13.87
2025-02-17,ltts,4816.9,4872.05,2,71.54,1.14
2025-02-17,vbl,474.55,475.9,25,-13.77,0.28
2025-02-17,jswinfra,225.45,225.35,52,-52.08,-0.04
2025-02-17,awl,235.75,253.7,50,848.55,7.61
2025-03-03,tcs,3493.05,3547.05,3,119.76,1.55
2025-03-03,jiofin,200.92,217.1,61,935.98,8.05
2025-03-03,piind,2987.1,3145.35,4,583.94,5.3
2025-03-03,yesbank,16.31,16.92,757,411.46,3.74
2025-03-03,ntpcgreen,87.92,91.07,140,390.88,3.58
2025-03-10,bajaj-auto,7383.4,7515.05,1,101.85,1.78
2025-03-10,kalyankjil,407.5,427.25,31,560.5,4.85
2025-03-10,ofss,7388.3,7296.2,1,-121.47,-1.25
2025-03-10,bse,1332.98,1338.13,9,-1.73,0.39
2025-03-10,mcx,904.11,954.69,14,656.07,5.59
2025-03-17,indusindbk,677.4,692.7,19,238.64,2.26
2025-03-17,ireda,138.16,151.87,94,1234.21,9.92
2025-03-17,aparinds,5321.6,5802.35,2,917.0,9.03
2025-03-17,idfcfirstb,52.89,55.42,246,569.09,4.78
2025-03-17,fact,596.65,642.8,21,917.09,7.73
2025-03-24,indusindbk,669.45,655.3,20,-335.99,-2.11
2025-03-24,crisil,4196.1,4169.65,3,-129.55,-0.63
2025-03-24,kei,2882.65,2819.95,4,-296.42,-2.18
2025-03-24,infy,1592.75,1599.45,8,2.52,0.42
2025-03-24,jsl,591.35,595.15,23,32.82,0.64
2025-04-07,ucobank,28.06,28.69,486,251.02,2.25
2025-04-07,sonacoms,406.6,407.45,33,-25.68,0.21
2025-04-07,nationalum,144.69,143.45,94,-170.73,-0.86
2025-04-07,hindalco,561.8,564.0,24,-1.24,0.39
2025-04-07,jsl,516.65,512.6,26,-158.82,-0.78
2025-04-21,aiaeng,3131.0,3132.7,4,-43.31,0.05
2025-04-21,aparinds,4977.0,5342.0,2,688.72,7.33
2025-04-21,wipro,238.45,243.6,57,238.6,2.16
2025-04-21,zyduslife,845.35,868.0,16,307.57,2.68
2025-04-21,maxhealth,1073.0,1129.6,12,626.34,5.27
2025-04-28,bluestarco,1746.4,1706.3,7,-329.04,-2.3
2025-04-28,voltas,1246.4,1236.1,11,-167.92,-0.83
2025-04-28,jswenergy,476.2,479.2,29,31.59,0.63
2025-04-28,swiggy,323.75,316.4,43,-371.1,-2.27
2025-04-28,igl,185.32,192.59,75,488.56,3.92
2025-05-05,bluestarco,1682.0,1677.7,8,-88.16,-0.26
2025-05-05,jswsteel,955.5,966.1,14,94.59,1.11
2025-05-05,torntpower,1477.9,1501.9,9,162.36,1.62
2025-05-05,jswinfra,289.3,290.95,48,23.5,0.57
2025-05-05,acc,1882.3,1844.9,7,-313.98,-1.99
2025-05-12,bluestarco,1624.2,1558.9,8,-573.33,-4.02
2025-05-12,acc,1858.8,1861.0,7,-36.68,0.12
2025-05-12,ajantpharm,2482.3,2586.3,5,469.31,4.19
2025-05-12,bankbaroda,226.85,233.57,61,353.75,2.96
2025-05-12,bankindia,110.09,113.86,126,418.59,3.42
2025-05-19,patanjali,577.37,575.0,24,-112.11,-0.41
2025-05-19,vbl,494.8,479.15,28,-492.74,-3.16
2025-05-19,torntpower,1424.3,1398.7,9,-281.21,-1.8
2025-05-19,industower,389.1,387.95,35,-94.64,-0.3
2025-05-19,medanta,1181.0,1183.1,11,-28.91,0.18
2025-05-26,bluestarco,1551.9,1555.5,8,-20.92,0.23
2025-05-26,jublfood,661.55,659.75,20,-88.85,-0.27
2025-05-26,balkrisind,2492.0,2478.0,5,-119.7,-0.56
2025-05-26,colpal,2510.3,2506.8,5,-67.67,-0.14
2025-06-02,fluorochem,3568.6,3671.5,3,265.26,2.88
2025-06-02,grasim,2524.1,2549.7,5,77.26,1.01
2025-06-02,auropharma,1136.8,1138.7,12,-31.81,0.17
2025-06-02,havells,1514.8,1500.0,9,-187.47,-0.98
2025-06-09,fluorochem,3639.9,3752.5,3,293.45,3.09
2025-06-09,mankind,2356.7,2378.8,5,63.15,0.94
2025-06-09,ipcalab,1369.3,1389.4,10,145.83,1.47
2025-06-09,alkem,4873.5,4885.5,2,-15.04,0.25
2025-06-09,colpal,2451.0,2432.1,5,-143.33,-0.77
2025-06-16,apollotyre,447.55,445.4,30,-118.08,-0.48
2025-06-16,tataconsum,1083.4,1065.2,12,-269.97,-1.68
2025-06-16,ipcalab,1362.5,1361.8,10,-61.49,-0.05
2025-06-16,coromandel,2265.8,2291.4,6,98.91,1.13
2025-06-23,fluorochem,3373.4,3469.4,4,329.26,2.85
2025-06-23,ipcalab,1340.0,1357.7,10,123.05,1.32
2025-06-23,suzlon,62.79,64.32,219,279.4,2.44
2025-06-23,patanjali,538.3,544.37,25,97.53,1.13
2025-06-23,siemens,3091.6,3149.1,4,180.07,1.86
2025-06-30,aplapollo,1739.1,1743.2,8,-22.92,0.24
2025-06-30,hindzinc,450.85,447.2,30,-163.38,-0.81
2025-06-30,kpittech,1258.7,1241.6,11,-243.11,-1.36
2025-06-30,lodha,1384.2,1398.8,10,90.34,1.05
2025-06-30,ntpcgreen,104.69,105.51,133,53.15,0.78
2025-07-07,hindzinc,437.5,425.0,31,-440.98,-2.86
2025-07-07,godrejind,1168.7,1146.1,11,-299.53,-1.93
